ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,label
1788353305.51621,CKgk2BhvrZw0Srmo8,10.10.10.2,45150,10.10.10.3,9998,tcp,-,0.000613,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow
1788353312.041977,CSJ99q2oGVJtes3yj,10.10.10.2,39568,10.10.10.3,9998,tcp,-,0.000985,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow
1788353318.578305,CtwWop4F57mOEAPAg6,10.10.10.2,34882,10.10.10.3,9998,tcp,-,0.000542,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow
1788353325.116838,CLJYQ73kuKXZRdlIw4,10.10.10.2,34898,10.10.10.3,9998,tcp,-,0.001104,51200,0,SF,T,T,32312,ShADaGFf,11,51780,9,476,-,6,exfil_slow
1788353331.654839,CbW0YI3D9do70Vvqai,10.10.10.2,47730,10.10.10.3,9998,tcp,-,0.000548,51200,0,SF,T,T,32312,ShADaGFf,11,51780,9,476,-,6,exfil_slow
1788353338.189749,CiM6ha1gWZb1ZKxgRe,10.10.10.2,37446,10.10.10.3,9998,tcp,-,0.000413,51200,0,SF,T,T,30864,ShADaGFf,12,51832,10,528,-,6,exfil_slow
1788353344.727548,C9wqvq32Re3SYPkk4,10.10.10.2,37462,10.10.10.3,9998,tcp,-,0.000309,51200,0,SF,T,T,30864,ShADaGFf,11,51780,9,476,-,6,exfil_slow
1788355370.22224,C1HOHLrG4zEtN9jBa,10.10.10.2,59166,10.10.10.3,9988,tcp,-,0.000427,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355374.556671,CShitB3dK6qliiWagl,10.10.10.2,59174,10.10.10.3,9988,tcp,-,0.000397,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355378.887512,CzYT4b2KOY0uaUO952,10.10.10.2,50736,10.10.10.3,9988,tcp,-,0.000309,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355383.226112,Cc8tqhOafXrOaP3Zh,10.10.10.2,50742,10.10.10.3,9988,tcp,-,0.000334,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355387.560801,CtdoHN1lPIP6riDGt2,10.10.10.2,52808,10.10.10.3,9988,tcp,-,0.000468,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355391.895021,CtNQWkjUZ5XxxuXsi,10.10.10.2,52820,10.10.10.3,9988,tcp,-,0.00045,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355396.231268,CeFAhn2WI5YGVK0Nda,10.10.10.2,52832,10.10.10.3,9988,tcp,-,0.000572,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355400.577768,CwBqj139jadefeitK7,10.10.10.2,45832,10.10.10.3,9988,tcp,-,0.000276,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355404.918844,CQpPeR1ryLpf0Ext,10.10.10.2,45842,10.10.10.3,9988,tcp,-,0.000359,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355409.255072,CHZMly2HRDS3S7A6el,10.10.10.2,33452,10.10.10.3,9988,tcp,-,0.000231,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355413.593997,Cwrvd64aQeotTFmiVj,10.10.10.2,33466,10.10.10.3,9988,tcp,-,0.000387,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355417.926257,CBKQ6t3B6ZlwnukwO8,10.10.10.2,50518,10.10.10.3,9988,tcp,-,0.000338,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355422.272162,CfwMUg62cifpboQca,10.10.10.2,50528,10.10.10.3,9988,tcp,-,0.000318,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
1788355426.606527,CU57g91xc4e4ioK3cb,10.10.10.2,50542,10.10.10.3,9988,tcp,-,0.000435,20480,0,SF,T,T,0,ShADaFf,9,20956,7,372,-,6,exfil_slow
1788355430.941001,CM7qqqdahbMhwJ2Wl,10.10.10.2,52170,10.10.10.3,9988,tcp,-,0.000306,20480,0,SF,T,T,0,ShADaFf,8,20904,6,320,-,6,exfil_slow
