timestamp,flow_id,id.orig_h,id.resp_h,id.resp_p,threat_class,alert_confidence,alert_reasons,label
1788355387.560801,CtdoHN1lPIP6riDGt2,10.10.10.2,10.10.10.3,9988,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788355391.895021,CtNQWkjUZ5XxxuXsi,10.10.10.2,10.10.10.3,9988,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788355396.231268,CeFAhn2WI5YGVK0Nda,10.10.10.2,10.10.10.3,9988,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788355400.577768,CwBqj139jadefeitK7,10.10.10.2,10.10.10.3,9988,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788355404.918844,CQpPeR1ryLpf0Ext,10.10.10.2,10.10.10.3,9988,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788355409.255072,CHZMly2HRDS3S7A6el,10.10.10.2,10.10.10.3,9988,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788355413.593997,Cwrvd64aQeotTFmiVj,10.10.10.2,10.10.10.3,9988,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788355417.926257,CBKQ6t3B6ZlwnukwO8,10.10.10.2,10.10.10.3,9988,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788355422.272162,CfwMUg62cifpboQca,10.10.10.2,10.10.10.3,9988,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788355426.606527,CU57g91xc4e4ioK3cb,10.10.10.2,10.10.10.3,9988,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
1788355430.941001,CM7qqqdahbMhwJ2Wl,10.10.10.2,10.10.10.3,9988,data_exfiltration,0.8,repeated low-volume channel to new destination (possible slow exfiltration); unusual port with high outbound/inbound byte ratio,exfil_slow
